DrugID,DiseaseID
DB00822,MESH:D000163
DB00649,MESH:D000163
DB00787,MESH:D000163
DB00495,MESH:D000163
DB00738,MESH:D000163
DB00847,MESH:D000163
DB01033,MESH:D000169
DB00244,MESH:D000169
DB01593,MESH:D000169
DB01234,MESH:D000169
DB06791,MESH:D000172
DB00350,MESH:D000172
DB01200,MESH:D000172
DB01065,MESH:D000172
DB00399,MESH:D000210
DB00687,MESH:D000224
DB00741,MESH:D000224
DB00993,MESH:D000230
DB00435,MESH:D000230
DB00317,MESH:D000230
DB00428,MESH:D000230
DB00655,MESH:D000230
DB00541,MESH:D000230
DB01005,MESH:D000230
DB00605,MESH:D000230
DB00603,MESH:D000230
DB00882,MESH:D000230
DB01094,MESH:D000230
DB00563,MESH:D000230
DB00482,MESH:D000230
DB00624,MESH:D000230
DB01188,MESH:D000230
DB01229,MESH:D000230
DB01380,MESH:D000230
DB00945,MESH:D000230
DB00201,MESH:D000230
DB01248,MESH:D000230
DB02709,MESH:D000230
DB01420,MESH:D000230
DB00328,MESH:D000230
DB00531,MESH:D000230
DB00635,MESH:D000230
DB01100,MESH:D000230
DB01151,MESH:D000230
DB00499,MESH:D000230
DB00675,MESH:D000230
DB01169,MESH:D000230
DB00977,MESH:D000230
DB00890,MESH:D000230
DB00694,MESH:D000230
DB01101,MESH:D000230
DB00313,MESH:D000230
DB00007,MESH:D000230
DB00262,MESH:D000230
DB00544,MESH:D000230
DB04743,MESH:D000230
DB01065,MESH:D000230
DB00255,MESH:D000230
DB00293,MESH:D000230
DB00951,MESH:D000230
DB00441,MESH:D000230
DB01217,MESH:D000230
DB00322,MESH:D000230
DB01050,MESH:D000230
DB00773,MESH:D000230
DB00762,MESH:D000230
DB06825,MESH:D000230
DB00257,MESH:D000230
DB00183,MESH:D000230
DB00276,MESH:D000230
DB01030,MESH:D000230
DB08865,MESH:D000230
DB00396,MESH:D000230
DB01708,MESH:D000230
DB01174,MESH:D000230
DB00269,MESH:D000230
DB01436,MESH:D000230
DB00357,MESH:D000230
DB01181,MESH:D000230
DB00309,MESH:D000230
DB00851,MESH:D000230
DB05294,MESH:D000230
DB00860,MESH:D000230
DB00783,MESH:D000230
DB00763,MESH:D000230
DB00997,MESH:D000230
DB00361,MESH:D000230
DB01168,MESH:D000230
DB00996,MESH:D000230
DB00763,MESH:D000236
DB01582,MESH:D000236
DB00603,MESH:D000236
DB00712,MESH:D000236
DB00328,MESH:D000236
DB01200,MESH:D000236
DB01174,MESH:D000236
DB02709,MESH:D000236
DB04630,MESH:D000236
DB00842,MESH:D000236
